Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,81000.000000,82400.000000,81000.000000,81700.000000,81700.000000,15710336
2021-05-04,81900.000000,82600.000000,81800.000000,82600.000000,82600.000000,12532550
2021-05-06,81700.000000,82300.000000,81700.000000,82300.000000,82300.000000,17047511
2021-05-07,81800.000000,82100.000000,81500.000000,81900.000000,81900.000000,14154882
2021-05-10,82300.000000,83500.000000,81800.000000,83200.000000,83200.000000,19385027
2021-05-11,82500.000000,82600.000000,81100.000000,81200.000000,81200.000000,28996680
2021-05-12,80800.000000,81200.000000,79800.000000,80000.000000,80000.000000,35812268
2021-05-13,78900.000000,79600.000000,78400.000000,78500.000000,78500.000000,31490096
2021-05-14,79000.000000,80300.000000,78900.000000,80100.000000,80100.000000,16450920
2021-05-17,80800.000000,80900.000000,79200.000000,79600.000000,79600.000000,17740855
2021-05-18,79600.000000,80000.000000,79100.000000,79600.000000,79600.000000,17494407
2021-05-20,79400.000000,79700.000000,79100.000000,79500.000000,79500.000000,16541828
2021-05-21,80100.000000,81500.000000,79800.000000,80100.000000,80100.000000,20961714
2021-05-24,80100.000000,80400.000000,79500.000000,79700.000000,79700.000000,13398666
2021-05-25,80000.000000,80400.000000,79800.000000,79900.000000,79900.000000,13628942
2021-05-26,80400.000000,80500.000000,79700.000000,79800.000000,79800.000000,11984359
2021-05-27,80000.000000,80000.000000,79100.000000,79600.000000,79600.000000,23198510
2021-05-28,79800.000000,80400.000000,79400.000000,80100.000000,80100.000000,12360199
2021-05-31,80300.000000,80600.000000,79600.000000,80500.000000,80500.000000,13321324
